customer_id_num,product_cat_num,review_score
0,0,1
0,0,1
1,1,1
2,2,1
2,2,1
2,2,1
3,3,1
4,4,4
5,5,4
6,5,1
7,5,3
8,0,1
9,6,5
10,0,1
11,7,5
12,8,1
13,0,5
14,9,5
15,0,5
16,10,1
17,11,5
18,12,2
19,0,5
19,0,5
20,13,3
21,6,3
22,5,5
23,0,5
23,0,5
23,0,5
23,0,5
23,0,5
23,0,5
23,0,5
24,2,4
25,7,1
26,14,5
27,6,5
28,0,3
29,0,5
30,13,5
31,13,5
32,1,1
33,0,1
34,2,1
34,2,1
35,13,4
36,8,5
37,6,5
38,2,5
39,8,1
40,14,5
41,0,5
42,13,5
43,2,1
44,13,4
45,6,1
45,6,1
46,2,1
47,0,5
47,0,5
48,5,1
49,2,4
50,15,2
51,2,4
52,7,5
53,1,5
54,7,5
55,6,5
56,3,5
57,2,1
58,5,5
59,12,1
60,0,3
60,0,3
61,3,4
61,3,4
62,0,5
63,10,5
63,10,5
64,2,4
65,16,5
66,13,5
67,0,5
67,17,5
67,17,5
67,0,5
68,18,1
69,12,1
70,12,5
71,2,1
71,2,1
71,2,1
72,6,1
73,19,4
74,2,5
75,6,4
76,13,5
77,15,1
78,9,5
79,11,5
80,11,1
81,13,5
81,13,5
82,13,5
83,20,5
83,20,5
83,20,5
83,20,5
83,20,5
83,20,5
84,17,5
85,1,4
85,1,4
86,21,1
87,20,3
87,20,3
88,3,1
89,1,5
90,11,1
91,5,5
92,2,1
93,10,5
93,10,5
93,10,5
93,10,5
94,6,4
95,11,3
96,6,5
97,3,1
97,3,1
98,0,2
98,0,2
98,0,2
98,0,2
98,0,2
99,7,5
100,6,5
101,0,1
102,2,5
103,22,5
104,0,4
105,0,5
106,23,1
107,6,1
108,6,5
109,12,5
110,0,1
111,2,1
112,0,1
113,2,4
113,2,4
114,4,5
115,11,5
116,20,5
116,20,5
117,12,4
118,13,5
119,17,5
120,4,5
121,2,1
122,13,5
122,13,5
123,2,5
124,6,4
125,3,2
126,24,4
127,12,1
127,12,1
127,12,1
127,12,1
128,21,5
129,24,3
130,1,5
131,25,4
132,5,1
133,14,1
134,13,4
135,7,1
136,2,1
136,2,1
137,5,5
138,8,5
138,8,5
139,14,1
140,2,1
141,16,5
142,0,4
143,13,5
144,0,3
145,14,5
146,5,5
147,25,2
147,25,2
148,6,5
149,25,5
150,1,5
151,3,4
152,0,4
153,13,5
154,6,4
155,9,3
156,13,1
157,13,1
157,13,1
157,13,1
158,6,5
159,2,4
160,12,1
161,13,5
162,15,1
163,0,5
164,12,5
165,14,4
166,11,4
167,6,1
168,2,4
169,13,5
170,12,1
171,6,1
171,6,1
172,9,3
173,8,1
173,8,1
173,8,1
174,6,5
175,1,5
176,14,4
177,3,5
178,2,5
179,20,5
180,19,5
181,13,1
182,13,5
183,2,1
184,3,5
184,3,5
185,0,5
186,0,5
187,11,1
188,13,5
189,0,4
190,2,5
191,2,1
192,26,5
193,24,5
193,24,5
194,14,5
195,5,3
196,10,1
196,10,1
197,0,2
198,0,3
199,4,5
200,7,4
201,25,5
202,0,3
202,0,3
202,0,3
203,2,5
204,5,5
205,13,5
206,2,4
207,8,4
208,15,3
209,0,1
209,0,1
210,12,1
211,13,5
212,11,1
213,16,5
214,0,5
215,8,4
216,0,3
216,0,3
217,12,5
217,12,5
218,3,5
219,5,5
220,19,4
220,19,4
221,0,3
221,0,4
222,2,5
223,2,5
224,12,1
225,2,5
226,6,1
227,12,5
228,2,5
229,0,5
230,27,5
231,4,1
232,13,5
233,0,5
234,13,5
235,2,5
235,13,5
236,28,5
237,11,1
237,11,1
238,12,4
238,12,4
239,5,5
240,0,3
241,0,1
242,2,1
243,2,5
244,8,4
245,0,4
246,15,1
247,25,1
248,2,5
249,6,5
250,0,1
250,17,1
250,0,1
250,17,1
250,17,1
250,0,1
251,13,5
252,5,5
253,2,4
254,2,5
255,0,5
255,0,5
256,16,1
257,0,5
257,0,5
258,25,5
259,17,4
260,6,4
261,6,5
262,2,4
263,1,3
264,26,5
265,25,4
266,8,5
267,0,5
268,5,4
269,20,1
270,7,1
271,24,5
272,0,5
273,0,1
274,0,5
275,9,4
276,29,5
277,2,3
277,2,3
278,11,5
279,25,1
280,1,1
281,0,5
