customer_id_num,product_cat_num,review_score
0,0,5
1,1,5
2,2,5
3,3,4
4,4,5
5,5,1
6,6,5
7,7,5
8,3,5
9,8,5
10,7,5
11,9,5
12,10,4
13,10,5
14,11,4
15,10,5
16,12,4
17,3,5
18,3,1
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
19,4,5
20,13,5
20,13,5
20,13,5
21,14,5
22,15,3
23,16,4
24,17,4
25,3,1
25,3,1
26,4,5
27,16,5
28,18,4
29,13,5
30,13,5
31,3,5
32,11,5
33,10,5
34,5,5
35,19,5
35,19,5
36,20,5
37,21,1
38,22,5
39,13,3
40,5,5
41,17,5
42,5,5
43,10,5
44,7,5
45,5,1
46,16,5
47,14,1
48,11,5
49,17,5
50,12,5
51,14,1
52,4,4
52,4,4
53,16,4
54,21,3
55,10,5
56,17,5
57,17,5
58,5,5
59,10,5
60,11,5
61,23,4
62,16,4
63,23,4
64,24,5
65,10,5
66,25,1
67,13,1
67,13,1
68,20,5
69,2,4
70,10,2
70,10,2
71,5,5
72,10,5
72,10,5
73,23,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
74,4,4
75,14,5
76,22,4
77,22,1
78,16,5
79,22,1
80,3,4
81,22,4
81,22,4
82,23,5
83,16,5
84,23,3
84,23,3
85,26,5
85,26,5
86,5,4
87,23,4
88,13,1
88,13,1
88,13,1
88,13,1
88,13,1
88,13,1
89,21,5
90,2,5
91,11,5
92,6,4
93,23,5
94,3,5
95,4,5
96,5,5
97,14,5
98,16,5
99,17,1
100,3,4
101,17,1
101,17,1
102,5,5
103,2,5
104,21,4
105,17,5
106,13,5
107,4,5
108,1,5
109,6,5
110,6,2
111,23,5
112,3,1
113,16,5
114,22,5
115,4,5
116,22,1
117,23,5
118,3,3
119,2,4
120,14,4
121,7,5
122,16,5
123,21,5
124,10,5
124,10,5
125,17,4
126,16,5
127,3,4
128,16,5
129,2,5
130,23,1
131,17,5
132,16,5
132,16,5
133,3,4
134,16,5
135,17,2
136,16,5
137,16,5
138,16,1
139,16,1
139,16,1
139,16,1
140,16,2
140,16,2
141,27,5
142,10,5
143,16,5
144,23,5
144,23,5
144,23,5
145,22,2
146,3,3
146,3,3
147,3,5
148,4,1
149,14,5
150,28,1
150,28,1
151,6,4
152,17,1
153,23,5
154,23,3
155,15,4
155,15,4
156,29,1
157,16,5
158,10,3
158,10,3
158,10,3
159,10,5
159,10,5
160,2,3
161,3,5
162,30,5
162,10,5
162,10,5
163,3,5
163,3,5
164,21,5
164,21,5
164,21,5
165,31,1
166,22,3
167,7,5
168,29,2
169,0,4
170,17,4
171,8,3
171,8,3
172,12,4
173,8,5
174,5,5
175,14,5
176,22,5
177,23,2
178,17,5
179,11,4
180,3,5
181,3,3
182,10,1
183,17,5
184,23,5
185,16,4
186,16,5
186,16,5
187,5,5
188,14,4
189,8,4
189,8,4
189,8,4
190,10,3
190,10,3
191,3,5
192,0,5
193,14,5
194,23,5
195,11,3
195,11,3
195,11,3
196,17,4
197,31,5
197,31,5
198,17,5
199,2,5
200,29,4
201,16,4
202,14,5
203,20,5
204,32,1
205,5,1
206,8,5
207,10,3
208,15,5
208,15,5
209,2,5
210,16,1
211,21,1
212,5,3
213,2,5
214,6,5
215,3,4
216,22,4
217,16,5
218,33,4
218,33,4
219,17,5
219,17,5
220,22,5
221,13,4
221,13,4
222,2,5
223,17,5
224,28,1
225,21,5
226,4,5
227,5,5
228,21,5
229,34,5
230,21,5
231,21,5
232,14,1
233,7,5
234,8,5
235,22,4
236,4,4
237,3,5
238,21,5
239,5,1
239,5,1
240,10,5
241,10,1
241,10,1
242,21,4
243,29,1
243,29,1
244,16,4
245,14,5
246,3,5
247,27,4
248,35,5
249,23,5
250,10,4
251,0,5
252,33,4
253,36,5
254,6,5
255,14,3
256,10,5
257,10,2
257,10,3
257,10,2
257,10,3
257,10,2
257,10,3
258,2,5
259,37,4
260,6,4
261,2,5
262,14,1
263,10,5
264,16,4
265,14,5
266,3,5
267,30,5
268,19,5
269,2,3
270,16,5
270,16,5
270,16,5
271,21,4
272,30,1
272,30,1
273,2,4
274,31,5
275,17,4
276,0,5
277,17,1
277,17,1
277,17,1
278,5,5
279,21,5
280,31,5
281,16,4
282,5,5
283,10,4
284,5,5
285,31,4
286,17,5
287,31,5
288,10,2
289,16,5
290,5,5
291,22,5
292,32,4
293,14,3
294,6,4
295,15,5
296,15,5
297,10,5
298,0,5
299,5,5
300,10,5
300,10,5
301,5,5
302,3,5
303,5,5
304,29,1
305,2,1
306,32,5
307,3,4
308,38,5
308,38,5
308,38,5
309,17,5
310,14,5
311,8,5
312,21,1
313,0,1
313,0,1
314,7,4
315,6,5
316,3,1
317,10,5
318,31,1
319,6,1
320,3,5
321,16,5
321,16,5
322,23,5
323,2,5
324,8,5
325,23,5
326,23,5
327,22,1
327,22,1
328,36,5
329,3,5
330,14,4
331,23,4
332,0,4
333,10,5
334,21,1
335,3,5
335,3,5
336,17,5
336,17,5
337,21,5
338,23,4
338,23,4
338,23,4
338,23,4
339,6,1
340,21,4
341,3,4
342,4,5
343,16,5
343,16,5
344,21,5
345,5,4
346,2,4
347,5,5
348,4,5
349,3,5
350,5,4
351,0,4
351,0,4
352,4,5
353,14,4
354,3,5
355,13,3
355,13,3
356,3,4
357,31,4
358,10,5
359,27,5
360,2,4
361,21,3
362,5,4
363,6,5
364,37,4
365,14,5
366,13,3
367,5,1
367,5,1
368,39,5
369,14,5
370,6,5
370,6,5
371,23,4
371,23,4
372,31,5
373,31,4
374,5,5
375,11,4
376,0,5
377,14,5
378,27,4
379,31,1
380,23,5
381,16,5
381,16,5
382,10,5
383,16,5
383,16,5
384,23,5
384,23,5
384,23,5
385,21,4
386,10,5
387,17,5
388,22,3
389,6,5
389,6,5
390,21,5
391,23,5
392,14,1
393,20,1
394,14,4
395,5,4
395,5,5
396,15,4
397,23,3
398,17,5
399,8,3
400,3,5
401,13,5
402,22,4
403,2,5
404,17,5
405,3,1
405,3,1
405,3,1
406,3,5
407,13,5
408,15,5
409,22,5
410,40,5
410,40,5
411,14,5
412,2,5
413,10,4
414,2,5
415,41,3
416,34,5
416,23,5
417,3,5
418,14,5
419,21,4
420,37,3
421,42,4
422,3,5
423,6,5
423,6,5
424,15,5
425,32,3
426,21,5
427,16,5
428,16,4
429,23,5
430,16,5
431,3,5
432,43,5
433,27,5
433,15,5
434,21,4
435,16,5
436,24,5
437,5,5
437,5,3
438,13,1
439,14,5
440,7,3
441,10,4
442,16,1
442,10,1
442,16,1
442,10,1
443,2,5
443,2,5
444,4,3
445,10,5
446,4,5
447,11,3
447,11,3
448,4,5
449,2,4
450,3,5
450,3,5
451,22,5
452,16,5
453,31,5
454,21,5
455,14,2
456,21,5
456,21,5
457,4,5
458,4,5
459,31,5
460,16,2
461,2,4
462,23,4
463,37,5
463,37,5
463,37,5
464,2,4
465,16,5
466,6,5
467,17,4
468,3,5
469,27,5
470,7,2
471,21,4
472,11,4
473,10,5
474,2,5
475,16,2
476,14,5
477,17,5
478,23,4
479,5,5
480,27,5
481,3,1
482,37,3
483,31,5
484,6,5
485,27,4
486,11,5
487,29,3
488,22,5
489,37,5
490,10,1
491,14,1
492,5,5
493,8,3
494,14,2
495,3,5
496,7,4
497,3,5
498,11,5
498,11,5
499,3,4
500,10,5
501,44,5
502,23,5
503,16,5
504,21,5
505,3,5
506,21,4
507,5,3
508,14,4
509,14,5
510,5,5
511,5,5
512,6,5
513,5,4
514,3,4
515,16,2
515,16,2
516,11,5
517,44,5
518,7,5
519,45,3
520,23,5
521,16,5
522,16,3
523,16,5
523,16,5
524,6,5
525,16,4
526,14,5
527,37,3
528,22,5
529,23,5
530,12,5
531,3,5
532,2,5
533,6,5
534,10,1
535,21,5
536,23,5
537,12,5
538,3,1
538,3,1
539,16,5
540,23,5
541,22,4
542,3,1
542,3,1
542,3,1
542,3,1
543,6,4
544,10,4
545,44,5
546,27,4
547,17,5
548,14,4
548,14,4
548,14,4
549,16,5
550,16,5
551,6,5
552,31,4
553,16,5
554,3,5
554,3,5
555,3,5
556,6,5
557,22,5
558,23,5
559,25,5
560,3,1
561,3,5
562,21,5
563,17,4
564,6,5
565,7,5
566,6,3
567,2,5
568,14,5
569,4,5
570,13,5
571,16,3
572,24,5
573,17,5
573,17,5
574,3,5
575,16,5
575,16,4
576,5,5
577,5,5
578,3,4
579,31,5
580,15,5
581,6,2
582,16,4
583,17,5
584,10,3
585,20,4
586,21,5
586,7,5
587,46,1
588,21,5
589,29,5
589,29,5
590,23,4
591,2,5
592,23,5
593,3,5
593,3,5
593,3,5
594,13,5
595,31,5
596,3,5
597,15,3
598,28,5
599,2,5
600,10,5
600,10,5
601,4,5
601,4,5
602,3,5
603,6,1
604,21,5
605,23,5
606,7,3
607,17,2
608,21,5
609,5,4
610,31,4
611,16,5
612,27,5
613,31,5
614,16,5
615,44,5
616,6,5
617,3,5
618,3,5
619,27,5
620,17,5
621,5,4
622,16,4
623,13,5
623,13,5
623,13,5
623,13,5
624,11,1
624,11,1
624,11,1
624,11,1
625,10,1
626,4,5
627,6,3
628,6,5
629,27,1
630,6,1
630,6,1
631,7,5
632,11,5
633,47,5
634,5,1
635,11,5
636,6,3
637,21,5
638,25,5
639,13,5
640,31,3
641,7,5
641,21,5
642,37,5
643,11,4
644,6,5
645,4,1
646,22,5
646,22,5
647,31,1
647,31,1
648,0,4
649,17,5
650,16,5
651,2,5
652,6,4
653,3,5
654,3,5
654,3,5
655,5,5
655,5,5
656,31,3
657,37,4
658,19,1
659,7,1
659,7,1
660,12,1
661,23,4
661,23,4
662,10,1
663,16,5
663,16,5
664,23,5
665,3,5
666,8,5
667,21,5
668,14,5
669,13,4
670,3,3
671,4,3
672,6,5
673,25,5
674,14,4
675,8,2
676,29,1
677,2,1
678,10,5
679,6,5
679,6,5
680,13,4
681,16,5
682,10,5
683,11,5
684,4,3
685,16,3
685,16,3
686,23,5
687,3,5
687,3,5
688,21,5
689,4,5
690,10,5
691,21,5
692,11,5
693,16,4
694,48,5
695,3,4
695,3,4
696,5,1
696,5,1
697,16,5
698,3,3
699,0,5
700,16,4
701,37,3
702,21,3
703,21,4
704,5,5
705,23,1
706,10,5
707,3,5
708,14,5
708,14,5
709,3,5
710,23,4
711,5,5
712,3,5
712,3,5
713,29,5
713,29,5
714,7,5
715,23,4
716,4,1
717,23,4
718,3,5
719,6,4
720,21,5
721,6,5
722,8,2
722,8,2
723,16,2
724,17,5
725,37,5
726,37,2
727,23,5
728,30,5
729,22,4
729,22,4
730,5,1
731,31,5
732,15,4
733,11,5
734,3,5
735,6,5
736,3,3
737,5,5
738,22,4
739,10,1
740,16,3
741,5,5
742,21,4
743,17,5
744,31,5
745,5,5
746,16,2
747,5,5
748,17,4
749,21,5
750,27,5
751,27,5
752,21,4
753,13,4
754,42,5
755,5,4
756,31,5
757,16,5
758,12,5
758,12,5
759,6,5
760,17,5
761,16,5
762,16,4
763,11,1
764,23,5
765,17,5
766,5,5
767,10,5
768,17,5
769,23,4
770,16,5
770,16,5
771,7,5
772,49,5
772,49,5
773,17,5
774,21,5
775,16,5
776,5,4
777,3,4
778,23,5
779,17,5
779,17,5
780,5,4
781,6,5
782,8,3
783,6,3
784,3,5
785,6,5
786,13,5
787,37,5
788,2,4
788,2,4
789,7,5
790,6,5
791,4,4
791,4,4
792,5,5
793,23,5
794,6,5
795,16,5
796,31,2
797,10,5
798,23,5
798,23,5
798,23,5
798,23,5
798,23,5
798,23,5
798,23,5
799,17,2
800,3,4
800,3,4
801,16,5
802,32,5
803,11,5
804,16,3
804,16,3
805,31,5
806,0,1
807,27,1
807,27,1
808,7,5
809,23,4
810,22,5
811,16,5
811,16,5
812,19,1
813,3,5
814,12,2
814,12,2
815,44,5
816,21,5
817,3,5
818,6,3
818,6,3
819,3,5
820,47,5
821,15,5
822,8,5
823,6,5
823,6,5
824,22,5
825,2,5
826,14,2
827,2,4
828,6,5
829,16,4
830,17,4
831,4,5
832,22,3
833,3,5
834,6,4
835,37,5
836,16,4
836,16,5
837,5,5
838,6,1
838,6,1
839,22,5
840,3,5
840,2,5
841,5,5
842,15,5
843,21,5
844,31,5
845,16,5
845,10,5
846,16,5
846,16,5
847,37,5
848,13,3
849,21,5
850,3,5
851,6,5
852,23,4
852,23,4
853,10,5
854,16,4
855,10,3
855,16,3
856,12,5
856,12,5
857,27,5
858,10,3
858,10,3
859,5,5
860,10,1
860,10,1
861,13,5
862,13,4
862,13,4
863,3,5
864,3,5
865,29,5
866,12,5
867,5,5
868,5,5
869,10,5
870,22,5
871,46,4
872,50,5
872,50,5
873,16,4
874,51,5
875,2,5
876,10,5
877,13,5
878,46,3
879,31,4
880,4,5
881,28,4
882,5,4
883,27,5
884,23,5
885,5,3
885,31,3
886,10,5
887,3,4
888,22,5
888,22,5
889,22,5
889,22,2
890,10,5
891,5,5
892,6,4
892,6,4
892,6,4
893,3,5
894,23,4
895,27,1
896,16,5
896,16,5
896,30,5
896,30,5
897,5,4
898,12,4
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
899,10,5
900,37,5
901,23,5
902,21,4
903,21,5
904,5,4
905,17,4
906,31,5
907,3,4
908,10,1
909,16,4
910,7,5
911,11,5
912,6,5
913,14,5
914,16,1
915,29,4
916,3,4
917,22,5
918,14,5
919,6,5
920,6,4
921,23,5
922,19,5
923,16,4
924,17,5
925,3,5
926,23,5
927,7,1
928,3,5
929,16,4
930,27,5
931,14,1
932,31,4
933,16,5
934,4,5
935,4,5
936,16,4
937,6,5
938,31,4
939,5,5
940,10,5
941,6,5
942,22,5
943,17,5
943,17,5
944,27,1
945,44,5
946,23,5
947,29,5
948,11,5
949,2,5
950,17,4
951,6,4
952,29,2
953,14,3
954,6,5
955,6,5
956,3,5
957,16,5
958,19,5
959,47,1
960,31,1
960,17,1
961,5,4
962,23,5
963,3,4
964,10,5
965,3,5
966,5,5
967,15,5
968,14,5
969,23,5
970,23,5
971,4,4
972,2,2
973,16,5
974,7,5
975,14,5
976,6,5
977,16,5
978,10,4
979,16,3
980,3,4
980,3,4
981,2,5
982,23,5
982,23,5
983,13,5
984,3,5
985,41,4
986,5,5
987,26,5
988,5,5
989,2,5
990,21,5
991,10,5
991,10,5
991,10,5
992,6,4
992,6,4
993,3,4
994,0,5
995,45,3
996,3,5
997,3,5
998,38,1
999,4,5
1000,6,5
1001,3,5
1002,7,1
1003,15,5
1004,6,5
1005,16,5
1005,16,5
1006,23,5
1007,5,1
1008,10,5
1009,31,3
1010,37,5
1011,5,5
1012,8,5
1013,7,4
1014,35,5
1015,44,1
1016,2,5
1017,23,5
1018,10,5
1019,23,5
1020,3,5
1020,3,5
1021,14,4
1022,4,5
1023,10,4
1024,5,5
1025,16,4
1026,7,5
1027,3,5
1028,10,5
1028,10,5
1029,17,5
1030,16,2
1030,16,2
1031,10,4
1032,30,1
1033,13,5
1033,13,5
1033,13,5
1034,15,5
1035,10,5
1035,10,5
1036,23,2
1036,23,2
1037,5,4
1038,2,5
1039,0,4
1040,5,5
1041,10,4
1042,4,4
1043,10,5
1044,23,5
1044,23,5
1045,8,4
1046,23,4
1047,27,5
1048,3,5
1049,21,5
1050,27,3
1051,31,5
1051,31,5
1052,11,5
1053,31,2
1054,6,5
1055,13,5
1055,13,5
1056,23,4
1057,28,5
1058,44,3
1059,29,5
1060,16,5
1061,3,5
1062,4,5
1062,4,5
1063,14,5
1064,15,5
1064,15,5
1065,16,5
1066,27,5
1067,10,5
1068,3,5
1069,21,4
1070,5,1
1071,22,2
1072,4,5
1073,10,1
1073,10,1
1073,10,1
1074,16,4
1075,17,3
1075,17,3
1075,17,3
1075,17,3
1075,17,3
1075,17,3
1075,17,3
1075,17,3
1076,15,5
1077,16,5
1077,16,5
1078,17,5
1079,2,1
1080,10,1
1081,16,5
1082,5,4
1083,11,5
1084,13,5
1085,3,5
1086,2,5
1087,10,2
1088,37,2
1089,3,1
1090,21,3
1091,8,5
1092,6,3
1093,29,1
1093,29,1
1094,16,1
1095,17,1
1096,8,5
1097,17,5
1098,12,1
1099,14,1
1100,8,5
1101,17,3
1101,17,3
1102,5,1
1103,13,5
1103,13,5
1104,14,4
1105,17,5
1106,8,5
1107,24,5
1108,16,5
1109,16,5
1110,16,5
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1111,23,1
1112,10,2
1112,30,2
1113,5,5
1114,15,5
1115,10,4
1115,10,4
1115,10,4
1115,10,4
1116,31,5
1117,7,5
1118,16,5
1119,5,4
1120,16,5
1121,11,5
1122,17,4
1122,17,4
1123,33,4
1124,10,1
1125,21,1
1126,10,4
1127,14,1
1127,14,1
1128,3,5
1129,21,5
1130,23,4
1130,23,4
1131,16,5
1132,6,5
1133,15,5
1134,5,5
1135,31,5
1136,44,5
1137,23,5
1138,22,5
1139,10,5
1140,10,4
1141,28,5
1142,2,1
1143,19,5
1144,5,5
1145,16,5
1146,44,5
1147,11,5
1148,16,4
1149,14,2
1150,37,5
1151,5,1
1152,17,1
1153,22,5
1154,52,5
1155,31,5
1156,16,5
1157,3,5
1158,23,5
1159,22,5
1160,2,5
1160,2,5
1161,23,5
1161,23,5
1161,23,5
1162,17,5
1163,13,5
1164,10,5
1165,23,2
1166,13,4
1167,10,2
1168,16,4
1169,10,5
1170,21,5
1171,14,3
1172,20,4
1172,20,4
1173,31,5
1173,31,5
1173,31,5
1173,31,5
1173,31,5
1173,31,5
1174,5,5
1175,23,5
1176,7,5
1177,6,2
1178,21,4
1179,5,5
1180,3,1
1181,14,4
1182,6,5
1183,29,5
1184,5,3
1185,5,3
1185,5,3
1186,27,5
1187,4,5
1188,13,4
1189,6,5
1189,6,5
1189,6,5
1189,6,5
1189,6,5
1189,6,5
1190,32,4
1191,16,4
1192,10,1
1192,10,1
1192,16,1
1193,11,5
1194,10,1
1195,7,5
1195,7,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1196,3,5
1197,8,5
1198,3,3
1199,15,2
1200,6,5
1201,10,5
